grade,subject,chapter,step_title,sections_found,sections_total,missing_sections,overall_score,critical,high,audited_at
Grade 10,Hindi,अध्याय 3: जयशंकर प्रसाद,Concept introduction,8,8,,50,3,5,2026-06-29T11:19:25.565997+00:00
Grade 10,Hindi,अध्याय 3: जयशंकर प्रसाद,Core explanation,7,8,introduction,44,3,3,2026-06-29T11:19:25.567297+00:00
Grade 10,Hindi,अध्याय 3: जयशंकर प्रसाद,Revision and recap,0,8,introduction;what you will learn;simple explanation;step-by-step breakdown;worked example;common mistake;quick check question;summary,0,8,0,2026-06-29T11:19:25.568649+00:00
Grade 10,Hindi,अध्याय 3: जयशंकर प्रसाद,Exam-style problems,7,8,introduction,52,1,6,2026-06-29T11:19:25.570050+00:00
Grade 10,Hindi,अध्याय 3: जयशंकर प्रसाद,Worked examples,8,8,,50,3,5,2026-06-29T11:19:25.571201+00:00
Grade 10,Hindi,अध्याय 4: सूर्यकांत त्रिपाठी 'निराला',Worked examples,7,8,introduction,44,4,4,2026-06-29T11:19:25.572105+00:00
Grade 10,Hindi,अध्याय 4: सूर्यकांत त्रिपाठी 'निराला',Concept introduction,8,8,,50,2,5,2026-06-29T11:19:25.573117+00:00
Grade 10,Hindi,अध्याय 4: सूर्यकांत त्रिपाठी 'निराला',Revision and recap,0,8,introduction;what you will learn;simple explanation;step-by-step breakdown;worked example;common mistake;quick check question;summary,0,8,0,2026-06-29T11:19:25.574239+00:00
Grade 10,Hindi,अध्याय 4: सूर्यकांत त्रिपाठी 'निराला',Exam preparation,8,8,,50,2,7,2026-06-29T11:19:25.575286+00:00
Grade 10,Hindi,अध्याय 4: सूर्यकांत त्रिपाठी 'निराला',Core explanation,8,8,,52,1,7,2026-06-29T11:19:25.576383+00:00
Grade 10,Hindi,अध्याय 4: सूर्यकांत त्रिपाठी 'निराला',Exam-style problems,7,8,introduction,44,3,6,2026-06-29T11:19:25.577331+00:00
Grade 10,Hindi,अध्याय 5: नागार्जुन,Revision and recap,7,8,introduction,44,2,6,2026-06-29T11:19:25.578715+00:00
Grade 10,Hindi,अध्याय 5: नागार्जुन,Exam-style problems,4,8,introduction;what you will learn;simple explanation;step-by-step breakdown,25,6,3,2026-06-29T11:19:25.580112+00:00
Grade 10,Hindi,अध्याय 5: नागार्जुन,Worked examples,7,8,introduction,44,3,5,2026-06-29T11:19:25.581359+00:00
Grade 10,Hindi,अध्याय 5: नागार्जुन,Exam preparation,7,8,introduction,44,4,4,2026-06-29T11:19:25.582508+00:00
Grade 10,Hindi,अध्याय 5: नागार्जुन,Core explanation,7,8,introduction,44,3,3,2026-06-29T11:19:25.583814+00:00
Grade 10,Hindi,अध्याय 5: नागार्जुन,Concept introduction,8,8,,60,2,3,2026-06-29T11:19:25.584866+00:00
Grade 10,Hindi,अध्याय 6: मंगलेश डबराल,Concept introduction,8,8,,50,3,3,2026-06-29T11:19:25.585829+00:00
Grade 10,Hindi,अध्याय 6: मंगलेश डबराल,Exam-style problems,7,8,introduction,44,2,6,2026-06-29T11:19:25.586797+00:00
Grade 10,Hindi,अध्याय 6: मंगलेश डबराल,Exam preparation,7,8,introduction,44,1,8,2026-06-29T11:19:25.587863+00:00
Grade 10,Hindi,अध्याय 6: मंगलेश डबराल,Core explanation,7,8,introduction,44,4,3,2026-06-29T11:19:25.589018+00:00
Grade 10,Hindi,अध्याय 6: मंगलेश डबराल,Worked examples,7,8,introduction,44,4,4,2026-06-29T11:19:25.590009+00:00
Grade 10,Hindi,अध्याय 6: मंगलेश डबराल,Revision and recap,7,8,introduction,44,4,4,2026-06-29T11:19:25.590931+00:00
Grade 10,Hindi,अध्याय 7: स्वयं प्रकाश,Core explanation,7,8,introduction,44,3,6,2026-06-29T11:19:25.591974+00:00
Grade 10,Hindi,अध्याय 7: स्वयं प्रकाश,Concept introduction,1,8,introduction;what you will learn;simple explanation;step-by-step breakdown;common mistake;quick check question;summary,6,8,0,2026-06-29T11:19:25.593295+00:00
Grade 10,Hindi,अध्याय 7: स्वयं प्रकाश,Worked examples,7,8,introduction,44,2,6,2026-06-29T11:19:25.594797+00:00
Grade 10,Hindi,अध्याय 7: स्वयं प्रकाश,Revision and recap,0,8,introduction;what you will learn;simple explanation;step-by-step breakdown;worked example;common mistake;quick check question;summary,0,8,0,2026-06-29T11:19:25.596007+00:00
Grade 10,Hindi,अध्याय 7: स्वयं प्रकाश,Exam-style problems,1,8,introduction;what you will learn;simple explanation;step-by-step breakdown;common mistake;quick check question;summary,6,8,0,2026-06-29T11:19:25.597270+00:00
Grade 10,Hindi,अध्याय 7: स्वयं प्रकाश,Exam preparation,7,8,introduction,44,2,7,2026-06-29T11:19:25.598516+00:00
Grade 10,Hindi,अध्याय 8: रामवृक्ष बेनीपुरी,Worked examples,7,8,introduction,44,6,6,2026-06-29T11:19:25.599433+00:00
Grade 10,Hindi,अध्याय 8: रामवृक्ष बेनीपुरी,Core explanation,7,8,introduction,44,3,4,2026-06-29T11:19:25.600509+00:00
Grade 10,Hindi,अध्याय 8: रामवृक्ष बेनीपुरी,Exam preparation,8,8,,50,7,7,2026-06-29T11:19:25.601515+00:00
Grade 10,Hindi,अध्याय 8: रामवृक्ष बेनीपुरी,Exam-style problems,0,8,introduction;what you will learn;simple explanation;step-by-step breakdown;worked example;common mistake;quick check question;summary,0,8,0,2026-06-29T11:19:25.603239+00:00
Grade 10,Hindi,अध्याय 8: रामवृक्ष बेनीपुरी,Concept introduction,8,8,,50,4,2,2026-06-29T11:19:25.604099+00:00
Grade 10,Hindi,अध्याय 8: रामवृक्ष बेनीपुरी,Revision and recap,7,8,introduction,59,2,2,2026-06-29T11:19:25.605269+00:00
Grade 10,Hindi,अध्याय 9: यशपाल,Revision and recap,0,8,introduction;what you will learn;simple explanation;step-by-step breakdown;worked example;common mistake;quick check question;summary,0,8,0,2026-06-29T11:19:25.606350+00:00
Grade 10,Hindi,अध्याय 9: यशपाल,Worked examples,6,8,introduction;what you will learn,38,6,6,2026-06-29T11:19:25.607398+00:00
Grade 10,Hindi,अध्याय 9: यशपाल,Exam-style problems,7,8,introduction,52,1,6,2026-06-29T11:19:25.608743+00:00
Grade 10,Hindi,अध्याय 9: यशपाल,Exam preparation,7,8,introduction,44,3,5,2026-06-29T11:19:25.609834+00:00
Grade 10,Hindi,अध्याय 9: यशपाल,Core explanation,7,8,introduction,44,4,5,2026-06-29T11:19:25.611041+00:00
Grade 10,Hindi,अध्याय 9: यशपाल,Concept introduction,0,8,introduction;what you will learn;simple explanation;step-by-step breakdown;worked example;common mistake;quick check question;summary,0,8,0,2026-06-29T11:19:25.612203+00:00
Grade 10,Maths,Chapter 1: Real Numbers,Exam-style problems,7,8,introduction,52,1,6,2026-06-29T11:19:25.613526+00:00
Grade 10,Maths,Chapter 1: Real Numbers,Core explanation,7,8,introduction,44,4,4,2026-06-29T11:19:25.614562+00:00
Grade 10,Maths,Chapter 1: Real Numbers,Revision and recap,7,8,introduction,44,5,4,2026-06-29T11:19:25.615435+00:00
Grade 10,Maths,Chapter 1: Real Numbers,Concept introduction,7,8,introduction,44,8,6,2026-06-29T11:19:25.616746+00:00
Grade 10,Maths,Chapter 1: Real Numbers,Exam preparation,7,8,introduction,44,5,4,2026-06-29T11:19:25.618095+00:00
Grade 10,Maths,Chapter 1: Real Numbers,Worked examples,7,8,introduction,44,4,5,2026-06-29T11:19:25.619310+00:00
Grade 10,Maths,Chapter 10: Circles,Revision and recap,7,8,introduction,44,8,4,2026-06-29T11:19:25.621026+00:00
Grade 10,Maths,Chapter 10: Circles,Core explanation,7,8,introduction,44,3,3,2026-06-29T11:19:25.622480+00:00
Grade 10,Maths,Chapter 10: Circles,Worked examples,7,8,introduction,44,3,6,2026-06-29T11:19:25.623943+00:00
Grade 10,Maths,Chapter 10: Circles,Exam preparation,7,8,introduction,44,9,5,2026-06-29T11:19:25.625565+00:00
Grade 10,Maths,Chapter 10: Circles,Concept introduction,7,8,introduction,44,8,3,2026-06-29T11:19:25.627259+00:00
Grade 10,Maths,Chapter 10: Circles,Exam-style problems,7,8,introduction,72,1,2,2026-06-29T11:19:25.629010+00:00
Grade 10,Maths,Chapter 11: Areas Related to Circles,Concept introduction,8,8,,50,6,3,2026-06-29T11:19:25.630210+00:00
Grade 10,Maths,Chapter 11: Areas Related to Circles,Revision and recap,7,8,introduction,44,4,4,2026-06-29T11:19:25.631587+00:00
Grade 10,Maths,Chapter 11: Areas Related to Circles,Exam preparation,7,8,introduction,44,3,5,2026-06-29T11:19:25.633203+00:00
Grade 10,Maths,Chapter 11: Areas Related to Circles,Exam-style problems,7,8,introduction,44,4,5,2026-06-29T11:19:25.634715+00:00
Grade 10,Maths,Chapter 11: Areas Related to Circles,Core explanation,7,8,introduction,44,5,3,2026-06-29T11:19:25.635942+00:00
Grade 10,Maths,Chapter 11: Areas Related to Circles,Worked examples,7,8,introduction,44,3,6,2026-06-29T11:19:25.637239+00:00
Grade 10,Maths,Chapter 12: Surface Areas and Volumes,Worked examples,7,8,introduction,44,3,7,2026-06-29T11:19:25.638752+00:00
Grade 10,Maths,Chapter 12: Surface Areas and Volumes,Concept introduction,8,8,,50,3,6,2026-06-29T11:19:25.639804+00:00
Grade 10,Maths,Chapter 12: Surface Areas and Volumes,Exam-style problems,7,8,introduction,44,6,2,2026-06-29T11:19:25.641421+00:00
Grade 10,Maths,Chapter 12: Surface Areas and Volumes,Revision and recap,8,8,,95,0,1,2026-06-29T11:19:25.645220+00:00
Grade 10,Maths,Chapter 12: Surface Areas and Volumes,Core explanation,7,8,introduction,44,8,5,2026-06-29T11:19:25.646469+00:00
Grade 10,Maths,Chapter 12: Surface Areas and Volumes,Exam preparation,7,8,introduction,44,4,4,2026-06-29T11:19:25.648046+00:00
Grade 10,Maths,Chapter 13: Statistics,Revision and recap,7,8,introduction,44,3,4,2026-06-29T11:19:25.650048+00:00
Grade 10,Maths,Chapter 13: Statistics,Concept introduction,7,8,introduction,44,3,3,2026-06-29T11:19:25.651530+00:00
Grade 10,Maths,Chapter 13: Statistics,Core explanation,7,8,introduction,44,4,6,2026-06-29T11:19:25.653041+00:00
Grade 10,Maths,Chapter 13: Statistics,Exam-style problems,7,8,introduction,62,1,4,2026-06-29T11:19:25.654771+00:00
Grade 10,Maths,Chapter 13: Statistics,Worked examples,7,8,introduction,44,9,4,2026-06-29T11:19:25.656328+00:00
Grade 10,Maths,Chapter 13: Statistics,Exam preparation,7,8,introduction,56,1,5,2026-06-29T11:19:25.657849+00:00
Grade 10,Maths,Chapter 14: Probability,Core explanation,7,8,introduction,44,5,3,2026-06-29T11:19:25.658877+00:00
Grade 10,Maths,Chapter 14: Probability,Concept introduction,8,8,,50,4,4,2026-06-29T11:19:25.659617+00:00
Grade 10,Maths,Chapter 14: Probability,Revision and recap,7,8,introduction,44,4,3,2026-06-29T11:19:25.660922+00:00
Grade 10,Maths,Chapter 14: Probability,Exam-style problems,7,8,introduction,49,2,4,2026-06-29T11:19:25.662312+00:00
Grade 10,Maths,Chapter 14: Probability,Worked examples,7,8,introduction,66,1,3,2026-06-29T11:19:25.664422+00:00
Grade 10,Maths,Chapter 14: Probability,Exam preparation,7,8,introduction,44,5,5,2026-06-29T11:19:25.665581+00:00
Grade 10,Maths,Chapter 2: Polynomials,Exam-style problems,5,8,introduction;what you will learn;common mistake,31,9,5,2026-06-29T11:19:25.667637+00:00
Grade 10,Maths,Chapter 2: Polynomials,Core explanation,7,8,introduction,44,4,5,2026-06-29T11:19:25.668951+00:00
Grade 10,Maths,Chapter 2: Polynomials,Revision and recap,6,8,what you will learn;step-by-step breakdown,38,4,5,2026-06-29T11:19:25.670059+00:00
Grade 10,Maths,Chapter 2: Polynomials,Worked examples,7,8,introduction,62,1,4,2026-06-29T11:19:25.672057+00:00
Grade 10,Maths,Chapter 2: Polynomials,Exam preparation,7,8,introduction,44,4,5,2026-06-29T11:19:25.673248+00:00
Grade 10,Maths,Chapter 2: Polynomials,Concept introduction,8,8,,50,4,5,2026-06-29T11:19:25.674352+00:00
Grade 10,Maths,Chapter 3: Pair of Linear Equations in Two Variables,Worked examples,7,8,what you will learn,44,9,10,2026-06-29T11:19:25.675795+00:00
Grade 10,Maths,Chapter 3: Pair of Linear Equations in Two Variables,Exam preparation,6,8,introduction;what you will learn,38,5,8,2026-06-29T11:19:25.677644+00:00
Grade 10,Maths,Chapter 3: Pair of Linear Equations in Two Variables,Concept introduction,7,8,what you will learn,44,5,6,2026-06-29T11:19:25.679394+00:00
Grade 10,Maths,Chapter 3: Pair of Linear Equations in Two Variables,Core explanation,7,8,introduction,62,1,4,2026-06-29T11:19:25.681295+00:00
Grade 10,Maths,Chapter 3: Pair of Linear Equations in Two Variables,Revision and recap,7,8,introduction,82,1,0,2026-06-29T11:19:25.683159+00:00
Grade 10,Maths,Chapter 3: Pair of Linear Equations in Two Variables,Exam-style problems,7,8,introduction,66,1,3,2026-06-29T11:19:25.685349+00:00
Grade 10,Maths,Chapter 4: Quadratic Equations,Exam-style problems,7,8,introduction,44,4,4,2026-06-29T11:19:25.686799+00:00
Grade 10,Maths,Chapter 4: Quadratic Equations,Revision and recap,7,8,introduction,44,6,8,2026-06-29T11:19:25.687980+00:00
Grade 10,Maths,Chapter 4: Quadratic Equations,Exam preparation,6,8,introduction;common mistake,38,6,5,2026-06-29T11:19:25.689658+00:00
Grade 10,Maths,Chapter 4: Quadratic Equations,Concept introduction,8,8,,50,5,5,2026-06-29T11:19:25.690880+00:00
Grade 10,Maths,Chapter 4: Quadratic Equations,Worked examples,5,8,introduction;what you will learn;common mistake,31,6,7,2026-06-29T11:19:25.692440+00:00
Grade 10,Maths,Chapter 4: Quadratic Equations,Core explanation,7,8,introduction,44,3,4,2026-06-29T11:19:25.693791+00:00
Grade 10,Maths,Chapter 5: Arithmetic Progressions,Revision and recap,7,8,introduction,62,1,4,2026-06-29T11:19:25.695298+00:00
Grade 10,Maths,Chapter 5: Arithmetic Progressions,Exam-style problems,7,8,introduction,44,5,6,2026-06-29T11:19:25.696685+00:00
Grade 10,Maths,Chapter 5: Arithmetic Progressions,Core explanation,7,8,introduction,44,4,5,2026-06-29T11:19:25.697913+00:00
Grade 10,Maths,Chapter 5: Arithmetic Progressions,Concept introduction,8,8,,55,2,4,2026-06-29T11:19:25.698762+00:00
Grade 10,Maths,Chapter 5: Arithmetic Progressions,Worked examples,7,8,introduction,44,3,4,2026-06-29T11:19:25.699877+00:00
Grade 10,Maths,Chapter 5: Arithmetic Progressions,Exam preparation,7,8,introduction,44,7,7,2026-06-29T11:19:25.701304+00:00
Grade 10,Maths,Chapter 6: Triangles,Worked examples,7,8,step-by-step breakdown,44,6,6,2026-06-29T11:19:25.702940+00:00
Grade 10,Maths,Chapter 6: Triangles,Exam preparation,7,8,introduction,44,4,6,2026-06-29T11:19:25.704267+00:00
Grade 10,Maths,Chapter 6: Triangles,Exam-style problems,7,8,introduction,44,5,4,2026-06-29T11:19:25.705400+00:00
Grade 10,Maths,Chapter 6: Triangles,Revision and recap,7,8,introduction,44,3,7,2026-06-29T11:19:25.706698+00:00
Grade 10,Maths,Chapter 6: Triangles,Concept introduction,7,8,introduction,44,3,4,2026-06-29T11:19:25.708178+00:00
Grade 10,Maths,Chapter 6: Triangles,Core explanation,7,8,introduction,44,3,4,2026-06-29T11:19:25.709549+00:00
Grade 10,Maths,Chapter 7: Coordinate Geometry,Revision and recap,7,8,introduction,44,7,5,2026-06-29T11:19:25.710913+00:00
Grade 10,Maths,Chapter 7: Coordinate Geometry,Exam preparation,7,8,introduction,44,3,6,2026-06-29T11:19:25.712003+00:00
Grade 10,Maths,Chapter 7: Coordinate Geometry,Exam-style problems,7,8,introduction,44,3,3,2026-06-29T11:19:25.713297+00:00
Grade 10,Maths,Chapter 7: Coordinate Geometry,Core explanation,7,8,introduction,44,8,4,2026-06-29T11:19:25.714403+00:00
Grade 10,Maths,Chapter 7: Coordinate Geometry,Concept introduction,7,8,introduction,49,2,4,2026-06-29T11:19:25.716132+00:00
Grade 10,Maths,Chapter 7: Coordinate Geometry,Worked examples,7,8,introduction,76,1,1,2026-06-29T11:19:25.717949+00:00
Grade 10,Maths,Chapter 8: Introduction to Trigonometry,Concept introduction,8,8,,50,3,3,2026-06-29T11:19:25.719264+00:00
Grade 10,Maths,Chapter 8: Introduction to Trigonometry,Exam-style problems,5,8,what you will learn;common mistake;quick check question,31,8,4,2026-06-29T11:19:25.721434+00:00
Grade 10,Maths,Chapter 8: Introduction to Trigonometry,Worked examples,7,8,common mistake,44,6,5,2026-06-29T11:19:25.722700+00:00
Grade 10,Maths,Chapter 8: Introduction to Trigonometry,Core explanation,7,8,introduction,44,8,5,2026-06-29T11:19:25.724543+00:00
Grade 10,Maths,Chapter 8: Introduction to Trigonometry,Exam preparation,8,8,,50,8,4,2026-06-29T11:19:25.725919+00:00
Grade 10,Maths,Chapter 8: Introduction to Trigonometry,Revision and recap,5,8,what you will learn;step-by-step breakdown;common mistake,31,9,7,2026-06-29T11:19:25.727624+00:00
Grade 10,Maths,Chapter 9: Some Applications of Trigonometry,Revision and recap,7,8,introduction,44,4,3,2026-06-29T11:19:25.728469+00:00
Grade 10,Maths,Chapter 9: Some Applications of Trigonometry,Worked examples,7,8,introduction,44,3,4,2026-06-29T11:19:25.729777+00:00
Grade 10,Maths,Chapter 9: Some Applications of Trigonometry,Exam preparation,7,8,introduction,44,2,5,2026-06-29T11:19:25.731187+00:00
Grade 10,Maths,Chapter 9: Some Applications of Trigonometry,Concept introduction,8,8,,50,3,4,2026-06-29T11:19:25.732162+00:00
Grade 10,Maths,Chapter 9: Some Applications of Trigonometry,Core explanation,7,8,introduction,44,3,4,2026-06-29T11:19:25.733660+00:00
Grade 10,Maths,Chapter 9: Some Applications of Trigonometry,Exam-style problems,7,8,introduction,54,2,3,2026-06-29T11:19:25.735213+00:00
Grade 10,Maths,Exemplar: Areas Related to Circles,Exam-style problems,7,8,introduction,44,2,6,2026-06-29T11:19:25.736615+00:00
Grade 10,Maths,Exemplar: Areas Related to Circles,Worked examples,6,8,introduction;what you will learn,62,2,0,2026-06-29T11:19:25.739432+00:00
Grade 10,Maths,Exemplar: Areas Related to Circles,Core explanation,7,8,introduction,62,1,4,2026-06-29T11:19:25.741163+00:00
Grade 10,Maths,Exemplar: Areas Related to Circles,Revision and recap,7,8,introduction,62,1,4,2026-06-29T11:19:25.743422+00:00
Grade 10,Maths,Exemplar: Areas Related to Circles,Exam preparation,7,8,introduction,66,1,3,2026-06-29T11:19:25.745415+00:00
Grade 10,Maths,Exemplar: Areas Related to Circles,Concept introduction,7,8,introduction,66,1,3,2026-06-29T11:19:25.747369+00:00
Grade 10,Maths,Exemplar: Arithmetic Progressions,Exam-style problems,7,8,introduction,66,1,3,2026-06-29T11:19:25.749657+00:00
Grade 10,Maths,Exemplar: Arithmetic Progressions,Worked examples,6,8,introduction;summary,48,2,3,2026-06-29T11:19:25.751216+00:00
Grade 10,Maths,Exemplar: Arithmetic Progressions,Revision and recap,7,8,introduction,62,1,4,2026-06-29T11:19:25.752805+00:00
Grade 10,Maths,Exemplar: Arithmetic Progressions,Core explanation,7,8,introduction,66,1,3,2026-06-29T11:19:25.754245+00:00
Grade 10,Maths,Exemplar: Arithmetic Progressions,Concept introduction,7,8,introduction,66,1,3,2026-06-29T11:19:25.755913+00:00
Grade 10,Maths,Exemplar: Arithmetic Progressions,Exam preparation,7,8,introduction,66,1,3,2026-06-29T11:19:25.758017+00:00
Grade 10,Maths,Exemplar: Circles,Concept introduction,7,8,introduction,62,1,4,2026-06-29T11:19:25.760003+00:00
Grade 10,Maths,Exemplar: Circles,Exam-style problems,7,8,introduction,66,1,3,2026-06-29T11:19:25.762394+00:00
Grade 10,Maths,Exemplar: Circles,Worked examples,3,8,introduction;what you will learn;step-by-step breakdown;common mistake;summary,19,5,2,2026-06-29T11:19:25.764199+00:00
Grade 10,Maths,Exemplar: Circles,Revision and recap,7,8,introduction,44,2,6,2026-06-29T11:19:25.765174+00:00
Grade 10,Maths,Exemplar: Circles,Exam preparation,4,8,introduction;common mistake;quick check question;summary,25,4,1,2026-06-29T11:19:25.771029+00:00
Grade 10,Maths,Exemplar: Circles,Core explanation,7,8,introduction,49,2,4,2026-06-29T11:19:25.772893+00:00
Grade 10,Maths,Exemplar: Constructions,Exam preparation,7,8,introduction,72,1,2,2026-06-29T11:19:25.775468+00:00
Grade 10,Maths,Exemplar: Constructions,Concept introduction,6,8,introduction;summary,42,2,4,2026-06-29T11:19:25.777217+00:00
Grade 10,Maths,Exemplar: Constructions,Core explanation,7,8,introduction,62,1,4,2026-06-29T11:19:25.779130+00:00
Grade 10,Maths,Exemplar: Constructions,Revision and recap,7,8,introduction,62,1,4,2026-06-29T11:19:25.781560+00:00
Grade 10,Maths,Exemplar: Constructions,Worked examples,7,8,introduction,66,1,3,2026-06-29T11:19:25.783718+00:00
Grade 10,Maths,Exemplar: Constructions,Exam-style problems,7,8,introduction,66,1,3,2026-06-29T11:19:25.786149+00:00
Grade 10,Maths,Exemplar: Coordinate Geometry,Core explanation,7,8,introduction,44,3,5,2026-06-29T11:19:25.787605+00:00
Grade 10,Maths,Exemplar: Coordinate Geometry,Concept introduction,7,8,introduction,49,2,4,2026-06-29T11:19:25.789151+00:00
Grade 10,Maths,Exemplar: Coordinate Geometry,Exam preparation,7,8,introduction,62,1,4,2026-06-29T11:19:25.791507+00:00
Grade 10,Maths,Exemplar: Coordinate Geometry,Worked examples,7,8,introduction,49,2,4,2026-06-29T11:19:25.794216+00:00
Grade 10,Maths,Exemplar: Coordinate Geometry,Exam-style problems,7,8,introduction,62,1,4,2026-06-29T11:19:25.796904+00:00
Grade 10,Maths,Exemplar: Coordinate Geometry,Revision and recap,7,8,introduction,54,2,3,2026-06-29T11:19:25.798282+00:00
Grade 10,Maths,Exemplar: Introduction to Trigonometry and Its Applications,Exam preparation,7,8,introduction,44,3,6,2026-06-29T11:19:25.799379+00:00
Grade 10,Maths,Exemplar: Introduction to Trigonometry and Its Applications,Exam-style problems,7,8,introduction,62,1,4,2026-06-29T11:19:25.801522+00:00
Grade 10,Maths,Exemplar: Introduction to Trigonometry and Its Applications,Concept introduction,7,8,summary,66,1,3,2026-06-29T11:19:25.803986+00:00
Grade 10,Maths,Exemplar: Introduction to Trigonometry and Its Applications,Core explanation,7,8,introduction,62,1,4,2026-06-29T11:19:25.806009+00:00
Grade 10,Maths,Exemplar: Introduction to Trigonometry and Its Applications,Worked examples,7,8,introduction,62,1,4,2026-06-29T11:19:25.808263+00:00
Grade 10,Maths,Exemplar: Introduction to Trigonometry and Its Applications,Revision and recap,7,8,introduction,72,1,2,2026-06-29T11:19:25.810757+00:00
Grade 10,Maths,Exemplar: Pair of Linear Equations in Two Variables,Concept introduction,7,8,introduction,66,1,3,2026-06-29T11:19:25.812712+00:00
Grade 10,Maths,Exemplar: Pair of Linear Equations in Two Variables,Core explanation,7,8,introduction,66,1,3,2026-06-29T11:19:25.815931+00:00
Grade 10,Maths,Exemplar: Pair of Linear Equations in Two Variables,Revision and recap,7,8,introduction,62,1,4,2026-06-29T11:19:25.817799+00:00
Grade 10,Maths,Exemplar: Pair of Linear Equations in Two Variables,Exam-style problems,7,8,introduction,76,1,1,2026-06-29T11:19:25.820621+00:00
Grade 10,Maths,Exemplar: Pair of Linear Equations in Two Variables,Worked examples,7,8,introduction,66,1,3,2026-06-29T11:19:25.823298+00:00
Grade 10,Maths,Exemplar: Pair of Linear Equations in Two Variables,Exam preparation,7,8,introduction,72,1,2,2026-06-29T11:19:25.825422+00:00
Grade 10,Maths,Exemplar: Polynomials,Exam preparation,7,8,introduction,62,1,4,2026-06-29T11:19:25.827261+00:00
Grade 10,Maths,Exemplar: Polynomials,Worked examples,7,8,introduction,62,1,4,2026-06-29T11:19:25.829329+00:00
Grade 10,Maths,Exemplar: Polynomials,Core explanation,7,8,introduction,62,1,4,2026-06-29T11:19:25.831413+00:00
Grade 10,Maths,Exemplar: Polynomials,Concept introduction,8,8,,80,0,4,2026-06-29T11:19:25.834027+00:00
Grade 10,Maths,Exemplar: Polynomials,Exam-style problems,7,8,introduction,66,1,3,2026-06-29T11:19:25.836959+00:00
Grade 10,Maths,Exemplar: Polynomials,Revision and recap,7,8,introduction,49,2,4,2026-06-29T11:19:25.838228+00:00
Grade 10,Maths,Exemplar: Probability,Exam-style problems,7,8,introduction,44,7,6,2026-06-29T11:19:25.839903+00:00
Grade 10,Maths,Exemplar: Probability,Concept introduction,8,8,,50,2,6,2026-06-29T11:19:25.840900+00:00
Grade 10,Maths,Exemplar: Probability,Revision and recap,7,8,introduction,44,3,7,2026-06-29T11:19:25.841721+00:00
Grade 10,Maths,Exemplar: Probability,Exam preparation,7,8,introduction,44,7,3,2026-06-29T11:19:25.843424+00:00
Grade 10,Maths,Exemplar: Probability,Core explanation,7,8,introduction,44,7,4,2026-06-29T11:19:25.845037+00:00
Grade 10,Maths,Exemplar: Probability,Worked examples,7,8,introduction,44,7,5,2026-06-29T11:19:25.846833+00:00
Grade 10,Maths,Exemplar: Quadratic Equations,Concept introduction,7,8,introduction,62,1,4,2026-06-29T11:19:25.848918+00:00
Grade 10,Maths,Exemplar: Quadratic Equations,Revision and recap,7,8,introduction,62,1,4,2026-06-29T11:19:25.851638+00:00
Grade 10,Maths,Exemplar: Quadratic Equations,Core explanation,7,8,introduction,72,1,2,2026-06-29T11:19:25.853499+00:00
Grade 10,Maths,Exemplar: Quadratic Equations,Worked examples,7,8,introduction,44,3,7,2026-06-29T11:19:25.854467+00:00
Grade 10,Maths,Exemplar: Quadratic Equations,Exam-style problems,7,8,introduction,44,2,5,2026-06-29T11:19:25.855599+00:00
Grade 10,Maths,Exemplar: Quadratic Equations,Exam preparation,7,8,introduction,46,1,7,2026-06-29T11:19:25.856880+00:00
Grade 10,Maths,Exemplar: Real Numbers,Exam-style problems,7,8,introduction,44,3,5,2026-06-29T11:19:25.858419+00:00
Grade 10,Maths,Exemplar: Real Numbers,Revision and recap,7,8,introduction,76,1,1,2026-06-29T11:19:25.861527+00:00
Grade 10,Maths,Exemplar: Real Numbers,Core explanation,7,8,introduction,66,1,3,2026-06-29T11:19:25.863693+00:00
Grade 10,Maths,Exemplar: Real Numbers,Worked examples,7,8,introduction,44,3,5,2026-06-29T11:19:25.865234+00:00
Grade 10,Maths,Exemplar: Real Numbers,Concept introduction,8,8,,80,0,4,2026-06-29T11:19:25.867473+00:00
Grade 10,Maths,Exemplar: Real Numbers,Exam preparation,4,8,introduction;common mistake;quick check question;summary,25,4,1,2026-06-29T11:19:25.870043+00:00
Grade 10,Maths,Exemplar: Statistics,Exam preparation,7,8,introduction,44,4,3,2026-06-29T11:19:25.873057+00:00
Grade 10,Maths,Exemplar: Statistics,Exam-style problems,7,8,introduction,62,1,4,2026-06-29T11:19:25.875433+00:00
Grade 10,Maths,Exemplar: Statistics,Core explanation,7,8,introduction,66,1,3,2026-06-29T11:19:25.877746+00:00
Grade 10,Maths,Exemplar: Statistics,Concept introduction,7,8,introduction,72,1,2,2026-06-29T11:19:25.880015+00:00
Grade 10,Maths,Exemplar: Statistics,Worked examples,6,8,introduction;summary,38,3,5,2026-06-29T11:19:25.881515+00:00
Grade 10,Maths,Exemplar: Statistics,Revision and recap,7,8,introduction,62,1,4,2026-06-29T11:19:25.883789+00:00
Grade 10,Maths,Exemplar: Statistics and Probability,Revision and recap,7,8,introduction,62,1,4,2026-06-29T11:19:25.886130+00:00
Grade 10,Maths,Exemplar: Statistics and Probability,Core explanation,7,8,introduction,66,1,3,2026-06-29T11:19:25.888335+00:00
Grade 10,Maths,Exemplar: Statistics and Probability,Concept introduction,7,8,introduction,72,1,2,2026-06-29T11:19:25.890597+00:00
