grade,subject,chapter,status,issue_count,high_count,error
Grade 10,English,Supplementary Reader - Chapter 9: The Book That Saved the Earth,OK,5,0,
Grade 10,English,Text Book - Chapter 1: A Letter to God,OK,4,1,
Grade 10,English,Text Book - Chapter 2: Nelson Mandela: Long Walk to Freedom,OK,1,0,
Grade 10,English,Text Book - Chapter 3: Two Stories about Flying,OK,3,0,
Grade 10,English,Text Book - Chapter 4: From the Diary of Anne Frank,OK,5,0,
Grade 10,English,Text Book - Chapter 5: Glimpses of India,OK,9,0,
Grade 10,English,Text Book - Chapter 6: Mijbil the Otter,OK,0,0,
Grade 10,English,Text Book - Chapter 7: Madam Rides the Bus,OK,3,0,
Grade 10,English,Text Book - Chapter 8: The Sermon at Benares,OK,3,0,
Grade 10,English,Text Book - Chapter 9: The Proposal,OK,1,0,
Grade 10,English,Workbook - Chapter 1: A Letter to God,OK,2,0,
Grade 10,English,Workbook - Chapter 2: Nelson Mandela — Long Walk to Freedom,OK,1,0,
Grade 10,English,Workbook - Chapter 3: Two Stories About Flying,OK,5,0,
Grade 10,English,Workbook - Chapter 4: From the Diary of Anne Frank,OK,19,0,
Grade 10,English,Workbook - Chapter 5: Glimpses of India,OK,5,0,
Grade 10,English,Workbook - Chapter 6: Mijbil the Otter,OK,1,0,
Grade 10,English,Workbook - Chapter 7: Madam Rides the Bus,OK,2,1,
Grade 10,English,Workbook - Chapter 8: The Sermon at Benares,OK,5,0,
Grade 10,English,Workbook - Chapter 9: The Proposal,OK,1,0,
Grade 10,Hindi,अध्याय 1: सूरदास,OK,4,2,
Grade 10,Hindi,अध्याय 10: मन्नू भंडारी,OK,3,2,
Grade 10,Hindi,अध्याय 11: यतींद्र मिश्र,OK,3,1,
Grade 10,Hindi,अध्याय 12: भदंत आनंद कौसल्यायन,OK,4,2,
Grade 10,Hindi,अध्याय 2: तुलसीदास,OK,6,0,
Grade 10,Hindi,अध्याय 3: जयशंकर प्रसाद,OK,4,0,
Grade 10,Hindi,अध्याय 4: सूर्यकांत त्रिपाठी 'निराला',OK,6,2,
Grade 10,Hindi,अध्याय 5: नागार्जुन,OK,3,2,
Grade 10,Hindi,अध्याय 6: मंगलेश डबराल,OK,6,1,
Grade 10,Hindi,अध्याय 7: स्वयं प्रकाश,OK,6,1,
Grade 10,Hindi,अध्याय 8: रामवृक्ष बेनीपुरी,OK,3,1,
Grade 10,Hindi,अध्याय 9: यशपाल,OK,3,2,
Grade 10,Maths,Chapter 1: Real Numbers,OK,2,0,
Grade 10,Maths,Chapter 10: Circles,OK,4,0,
Grade 10,Maths,Chapter 11: Areas Related to Circles,OK,2,0,
Grade 10,Maths,Chapter 12: Surface Areas and Volumes,OK,3,0,
Grade 10,Maths,Chapter 13: Statistics,OK,1,0,
Grade 10,Maths,Chapter 14: Probability,OK,2,0,
Grade 10,Maths,Chapter 2: Polynomials,OK,2,1,
Grade 10,Maths,Chapter 3: Pair of Linear Equations in Two Variables,OK,2,0,
Grade 10,Maths,Chapter 4: Quadratic Equations,OK,1,0,
Grade 10,Maths,Chapter 5: Arithmetic Progressions,OK,1,0,
Grade 10,Maths,Chapter 6: Triangles,OK,2,0,
Grade 10,Maths,Chapter 7: Coordinate Geometry,OK,1,0,
Grade 10,Maths,Chapter 8: Introduction to Trigonometry,OK,2,0,
Grade 10,Maths,Chapter 9: Some Applications of Trigonometry,OK,6,0,
Grade 10,Science,Chapter 1: Chemical Reactions and Equations,OK,7,0,
Grade 10,Science,Chapter 10: The Human Eye and the Colourful World,OK,7,2,
Grade 10,Science,Chapter 11: Electricity,OK,6,1,
Grade 10,Science,Chapter 12: Magnetic Effects of Electric Current,OK,2,0,
Grade 10,Science,Chapter 13: Our Environment,OK,6,1,
Grade 10,Science,"Chapter 2: Acids, Bases and Salts",OK,6,0,
Grade 10,Science,Chapter 3: Metals and Non-metals,OK,6,0,
Grade 10,Science,Chapter 4: Carbon and Its Compounds,OK,3,0,
Grade 10,Science,Chapter 5: Life Processes,OK,3,0,
Grade 10,Science,Chapter 6: Control and Coordination,OK,25,0,
Grade 10,Science,Chapter 7: How do Organisms Reproduce?,OK,2,0,
Grade 10,Science,Chapter 8: Heredity,OK,5,3,
Grade 10,Science,Chapter 9: Light – Reflection and Refraction,OK,4,3,
Grade 10,Science,Chemical Reactions and Equations,OK,3,0,
Grade 10,Social Science,Chapter 1: Development,OK,4,0,
Grade 10,Social Science,Chapter 1: Power-sharing,OK,3,0,
Grade 10,Social Science,Chapter 1: Resources and Development,OK,4,0,
Grade 10,Social Science,Chapter 1: The Rise of Nationalism in Europe,OK,4,0,
Grade 10,Social Science,Chapter 2: Federalism,OK,2,0,
Grade 10,Social Science,Chapter 2: Forest and Wildlife Resources,OK,1,0,
Grade 10,Social Science,Chapter 2: Nationalism in India,OK,5,5,
Grade 10,Social Science,Chapter 2: Sectors of the Indian Economy,OK,5,0,
Grade 10,Social Science,"Chapter 3: Gender, Religion and Caste",OK,4,2,
Grade 10,Social Science,Chapter 3: Money and Credit,OK,4,0,
Grade 10,Social Science,Chapter 3: The Making of a Global World,OK,5,0,
Grade 10,Social Science,Chapter 3: Water Resources,OK,4,0,
Grade 10,Social Science,Chapter 4: Agriculture,OK,2,0,
Grade 10,Social Science,Chapter 4: Globalisation and the Indian Economy,OK,5,0,
Grade 10,Social Science,Chapter 4: Political Parties,OK,4,0,
Grade 10,Social Science,Chapter 4: The Age of Industrialisation,OK,4,1,
Grade 10,Social Science,Chapter 5: Consumer Rights,OK,5,0,
Grade 10,Social Science,Chapter 5: Minerals and Energy Resources,OK,5,3,
Grade 10,Social Science,Chapter 5: Outcomes of Democracy,OK,5,1,
Grade 10,Social Science,Chapter 5: Print Culture and the Modern World,OK,1,0,
Grade 10,Social Science,Chapter 6: Manufacturing Industries,OK,5,3,
Grade 10,Social Science,Chapter 7: Lifelines of National Economy,OK,4,1,
Grade 10,Social Science,Geography - Chapter 1: Resources and Development,OK,8,0,
Grade 10,Social Science,Geography - Chapter 2: Forest and Wildlife Resources,OK,5,0,
Grade 10,Social Science,Geography - Chapter 3: Water Resources,OK,7,4,
Grade 10,Social Science,Geography - Chapter 4: Agriculture,OK,2,0,
Grade 10,Social Science,Geography - Chapter 5: Minerals and Energy Resources,OK,8,0,
Grade 10,Social Science,Geography - Chapter 6: Manufacturing Industries,OK,2,0,
Grade 10,Social Science,Geography - Chapter 7: Lifelines of National Economy,OK,4,0,
Grade 10,Social Science,History - Chapter 1: The Rise of Nationalism in Europe,OK,1,0,
Grade 10,Social Science,History - Chapter 2: Nationalism in India,OK,4,1,
Grade 10,Social Science,History - Chapter 3: The Making of a Global World,OK,2,0,
Grade 10,Social Science,History - Chapter 4: The Age of Industrialisation,OK,6,0,
Grade 10,Social Science,History - Chapter 5: Print Culture and the Modern World,OK,6,0,
Grade 10,Social Science,Political Science - Chapter 1: Power-sharing,OK,3,0,
Grade 10,Social Science,Political Science - Chapter 2: Federalism,OK,1,0,
Grade 10,Social Science,"Political Science - Chapter 3: Gender, Religion and Caste",OK,4,0,
Grade 10,Social Science,Political Science - Chapter 4: Political Parties,OK,4,0,
Grade 10,Social Science,Political Science - Chapter 5: Outcomes of Democracy,OK,3,0,
Grade 10,Social Science,Text Book - Chapter 1: Development,OK,4,0,
Grade 10,Social Science,Text Book - Chapter 2: Sectors of the Indian Economy,OK,1,0,
Grade 10,Social Science,Text Book - Chapter 3: Money and Credit,OK,30,0,
Grade 10,Social Science,Text Book - Chapter 4: Globalisation and the Indian Economy,OK,2,0,
Grade 10,Social Science,Text Book - Chapter 5: Consumer Rights,OK,0,0,
Grade 11,Accountancy,Chapter 1: Introduction to Accounting,OK,9,1,
Grade 11,Accountancy,Chapter 2: Theory Base of Accounting,OK,5,0,
Grade 11,Accountancy,Chapter 3: Recording of Transactions – I,OK,4,0,
Grade 11,Accountancy,Chapter 4: Recording of Transactions – II,OK,4,2,
Grade 11,Accountancy,Chapter 5: Bank Reconciliation Statement,OK,5,0,
Grade 11,Accountancy,Chapter 6: Trial Balance and Rectification of Errors,OK,1,0,
Grade 11,Accountancy,"Chapter 7: Depreciation, Provisions and Reserves",OK,5,0,
Grade 11,Accountancy,Chapter 8: Financial Statements – I,OK,1,0,
Grade 11,Accountancy,Chapter 9: Financial Statements – II,OK,3,0,
Grade 11,Biology,Chapter 1: The Living World,OK,2,0,
Grade 11,Biology,Chapter 10: Cell Cycle and Cell Division,OK,1,0,
Grade 11,Biology,Chapter 11: Photosynthesis in Higher Plants,OK,7,0,
Grade 11,Biology,Chapter 12: Respiration in Plants,OK,6,0,
Grade 11,Biology,Chapter 13: Plant Growth and Development,OK,1,0,
Grade 11,Biology,Chapter 14: Breathing and Exchange of Gases,OK,10,0,
Grade 11,Biology,Chapter 15: Body Fluids and Circulation,OK,4,1,
Grade 11,Biology,Chapter 16: Excretory Products and Their Elimination,OK,7,0,
Grade 11,Biology,Chapter 17: Locomotion and Movement,OK,5,1,
Grade 11,Biology,Chapter 18: Neural Control and Coordination,OK,5,1,
Grade 11,Biology,Chapter 19: Chemical Coordination and Integration,OK,4,0,
Grade 11,Biology,Chapter 2: Biological Classification,OK,16,5,
Grade 11,Biology,Chapter 3: Plant Kingdom,OK,5,0,
Grade 11,Biology,Chapter 4: Animal Kingdom,OK,4,0,
Grade 11,Biology,Chapter 5: Morphology of Flowering Plants,OK,6,4,
Grade 11,Biology,Chapter 6: Anatomy of Flowering Plants,OK,6,2,
Grade 11,Biology,Chapter 7: Structural Organisation in Animals,OK,3,2,
Grade 11,Biology,Chapter 8: Cell: The Unit of Life,OK,7,4,
Grade 11,Biology,Chapter 9: Biomolecules,OK,7,0,
Grade 11,Biology,Digestion and Absorption,OK,3,3,
Grade 11,Biology,Mineral Nutrition,OK,3,0,
Grade 11,Biology,Transport in Plants,OK,3,0,
Grade 11,Business Studies,"Chapter 1: Business, Trade and Commerce",OK,5,5,
Grade 11,Business Studies,Chapter 10: Internal Trade,OK,4,0,
Grade 11,Business Studies,Chapter 11: International Business,OK,1,0,
Grade 11,Business Studies,Chapter 2: Forms of Business Organisation,OK,4,0,
Grade 11,Business Studies,"Chapter 3: Private, Public and Global Enterprises",OK,10,0,
Grade 11,Business Studies,Chapter 4: Business Services,OK,5,1,
Grade 11,Business Studies,Chapter 5: Emerging Modes of Business,OK,6,0,
Grade 11,Business Studies,Chapter 6: Social Responsibilities of Business and Business Ethics,OK,6,1,
Grade 11,Business Studies,Chapter 7: Formation of a Company,OK,5,0,
Grade 11,Business Studies,Chapter 8: Sources of Business Finance,OK,2,0,
Grade 11,Business Studies,Chapter 9: MSME and Business Entrepreneurship,OK,5,0,
Grade 11,Chemistry,Chapter 1: Some Basic Concepts of Chemistry,OK,6,1,
Grade 11,Chemistry,Chapter 2: Structure of Atom,OK,2,0,
Grade 11,Chemistry,Chapter 3: Classification of Elements and Periodicity in Properties,OK,5,0,
Grade 11,Chemistry,Chapter 4: Chemical Bonding and Molecular Structure,OK,5,1,
Grade 11,Chemistry,Chapter 5: Thermodynamics,OK,6,1,
Grade 11,Chemistry,Chapter 6: Equilibrium,OK,4,3,
Grade 11,Chemistry,Chapter 7: Redox Reactions,OK,9,1,
Grade 11,Chemistry,Chapter 8: Organic Chemistry – Some Basic Principles and Techniques,OK,2,2,
Grade 11,Chemistry,Chapter 9: Hydrocarbons,OK,4,0,
Grade 11,Chemistry,Hydrogen,OK,3,1,
Grade 11,Chemistry,States of Matter,OK,2,0,
Grade 11,Economics,Chapter 1: Indian Economy on the Eve of Independence,OK,5,0,
Grade 11,Economics,Chapter 10: Collection of Data,OK,6,2,
Grade 11,Economics,Chapter 11: Organisation of Data,OK,6,0,
Grade 11,Economics,Chapter 12: Presentation of Data,OK,5,2,
Grade 11,Economics,Chapter 13: Measures of Central Tendency,OK,8,0,
Grade 11,Economics,Chapter 14: Correlation,OK,4,4,
Grade 11,Economics,Chapter 15: Index Numbers,OK,6,0,
Grade 11,Economics,Chapter 2: Indian Economy 1950–1990,OK,5,1,
Grade 11,Economics,"Chapter 3: Liberalisation, Privatisation and Globalisation",OK,5,0,
Grade 11,Economics,Chapter 4: Human Capital Formation in India,OK,5,3,
Grade 11,Economics,Chapter 5: Rural Development,OK,4,0,
Grade 11,Economics,"Chapter 6: Employment: Growth, Informalisation and Other Issues",OK,4,1,
Grade 11,Economics,Chapter 9: Introduction to Statistics,OK,4,0,
Grade 11,Economics,Comparative Development Experiences of India and its Neighbours,OK,4,0,
Grade 11,Economics,Environment and Sustainable Development,OK,3,0,
Grade 11,Economics,Use of Statistical Tools,OK,3,0,
Grade 11,English,Chapter 1: The Summer of the Beautiful White Horse,OK,4,0,
Grade 11,English,Chapter 10: The Adventure,OK,4,0,
Grade 11,English,Chapter 11: Silk Road,OK,7,0,
Grade 11,English,Chapter 2: The Address,OK,5,0,
Grade 11,English,Chapter 3: Mother's Day,OK,1,0,
Grade 11,English,Chapter 4: Birth,OK,2,0,
Grade 11,English,Chapter 5: The Tale of Melon City,OK,1,0,
Grade 11,English,Chapter 6: The Portrait of a Lady,OK,3,0,
Grade 11,English,Chapter 7: We're Not Afraid to Die,OK,4,0,
Grade 11,English,Chapter 8: Discovering Tut: the Saga Continues,OK,8,0,
Grade 11,English,Chapter 9: The Ailing Planet: the Green Movement's Role,OK,4,0,
Grade 11,Geography,Chapter 1: Geography as a Discipline,OK,1,0,
Grade 11,Geography,Chapter 10: Water in the Atmosphere,OK,3,0,
Grade 11,Geography,Chapter 11: World Climate and Climate Change,OK,2,0,
Grade 11,Geography,Chapter 12: Water (Oceans),OK,3,0,
Grade 11,Geography,Chapter 13: Movements of Ocean Water,OK,2,0,
Grade 11,Geography,Chapter 14: Biodiversity and Conservation,OK,7,0,
Grade 11,Geography,Chapter 15: India — Location,OK,5,0,
Grade 11,Geography,Chapter 16: Structure and Physiography,OK,5,0,
Grade 11,Geography,Chapter 17: Drainage System,OK,1,0,
Grade 11,Geography,Chapter 18: Climate,OK,5,5,
Grade 11,Geography,Chapter 19: Natural Vegetation,OK,4,0,
Grade 11,Geography,Chapter 2: The Origin and Evolution of the Earth,OK,7,6,
Grade 11,Geography,Chapter 20: Natural Hazards and Disasters,OK,5,5,
Grade 11,Geography,Chapter 3: Interior of the Earth,OK,5,2,
Grade 11,Geography,Chapter 4: Distribution of Oceans and Continents,OK,5,5,
Grade 11,Geography,Chapter 5: Geomorphic Processes,OK,2,0,
Grade 11,Geography,Chapter 6: Landforms and their Evolution,OK,4,0,
Grade 11,Geography,Chapter 7: Composition and Structure of Atmosphere,ERROR,0,0,"unparseable LLM response: Expecting ',' delimiter: line 15 column 5 (char 589)"
Grade 11,Geography,"Chapter 8: Solar Radiation, Heat Balance and Temperature",OK,3,0,
Grade 11,Geography,Chapter 9: Atmospheric Circulation and Weather Systems,OK,5,1,
Grade 11,Hindi,Anubhav,OK,4,0,
Grade 11,Hindi,Awara Masiha,OK,2,0,
Grade 11,Hindi,Chapter 1: Namak Ka Daroga,OK,6,0,
Grade 11,Hindi,Chapter 10: Mere To Girdhar Gopal,OK,10,0,
Grade 11,Hindi,Chapter 11: Ghar Ki Yaad,OK,5,0,
Grade 11,Hindi,Chapter 12: Champa Kaale Kaale Achchar Nahi Cheenhti,OK,6,0,
Grade 11,Hindi,Chapter 13: Ghazal,OK,5,0,
Grade 11,Hindi,Chapter 14: Hey Bhookh Mat Machal,OK,5,0,
Grade 11,Hindi,Chapter 15: Sabse Khatarnak,OK,6,0,
Grade 11,Hindi,Chapter 16: Aao Milkar Bachayen,OK,5,0,
Grade 11,Hindi,Chapter 17: Bharatiya Gayikaon Mein Bejod Lata Mangeshkar,OK,5,0,
Grade 11,Hindi,Chapter 18: Rajasthan Ki Rajat Boondein,OK,5,0,
Grade 11,Hindi,Chapter 19: Alo-Aandhari,OK,5,0,
Grade 11,Hindi,Chapter 2: Miyan Nasiruddin,OK,3,0,
Grade 11,Hindi,Chapter 20: Bharatiya Kalayen,OK,10,0,
Grade 11,Hindi,Chapter 3: Apu Ke Saath Dhai Saal,OK,5,0,
Grade 11,Hindi,Chapter 4: Vidai Sambhashan,OK,5,0,
Grade 11,Hindi,Chapter 5: Galta Loha,OK,5,0,
Grade 11,Hindi,Chapter 6: Rajni,OK,4,0,
Grade 11,Hindi,Chapter 7: Jamun Ka Ped,OK,5,0,
Grade 11,Hindi,Chapter 8: Bharat Mata,OK,4,4,
Grade 11,Hindi,Chapter 9: Hum Tau Ek Ek Kari Jaana,OK,5,0,
Grade 11,Hindi,Husain Ki Kahani Apni Zubani,OK,3,1,
Grade 11,Hindi,Mera Baap Bada Na Mera Chacha,OK,3,0,
Grade 11,Hindi,Namak,OK,2,1,
Grade 11,History,Chapter 1: Writing and City Life,OK,5,5,
Grade 11,History,Chapter 2: An Empire Across Three Continents,OK,5,5,
Grade 11,History,Chapter 3: Nomadic Empires,OK,6,0,
Grade 11,History,Chapter 4: The Three Orders,OK,5,5,
Grade 11,History,Chapter 5: Changing Cultural Traditions,OK,5,5,
Grade 11,History,Chapter 6: Displacing Indigenous Peoples,OK,5,5,
Grade 11,History,Chapter 7: Paths to Modernisation,OK,5,5,
Grade 11,Mathematics,Chapter 1: Sets,OK,1,0,
Grade 11,Mathematics,Chapter 10: Conic Sections,OK,3,0,
Grade 11,Mathematics,Chapter 11: Introduction to Three Dimensional Geometry,OK,3,0,
Grade 11,Mathematics,Chapter 12: Limits and Derivatives,OK,2,0,
Grade 11,Mathematics,Chapter 13: Statistics,OK,6,0,
Grade 11,Mathematics,Chapter 14: Probability,OK,3,0,
Grade 11,Mathematics,Chapter 2: Relations and Functions,ERROR,0,0,"unparseable LLM response: Expecting ',' delimiter: line 20 column 42 (char 792)"
Grade 11,Mathematics,Chapter 3: Trigonometric Functions,OK,5,0,
Grade 11,Mathematics,Chapter 4: Complex Numbers and Quadratic Equations,OK,2,2,
Grade 11,Mathematics,Chapter 5: Linear Inequalities,OK,1,0,
Grade 11,Mathematics,Chapter 6: Permutations and Combinations,OK,2,0,
Grade 11,Mathematics,Chapter 7: Binomial Theorem,OK,3,0,
Grade 11,Mathematics,Chapter 8: Sequences and Series,OK,1,1,
Grade 11,Mathematics,Chapter 9: Straight Lines,OK,3,0,
Grade 11,Mathematics,Principle of Mathematical Induction,ERROR,0,0,unparseable LLM response: Invalid \escape: line 17 column 116 (char 567)
Grade 11,Physics,Chapter 1: Units and Measurements,OK,4,0,
Grade 11,Physics,Chapter 10: Thermal Properties of Matter,OK,3,0,
Grade 11,Physics,Chapter 11: Thermodynamics,OK,1,0,
Grade 11,Physics,Chapter 12: Kinetic Theory,OK,2,2,
Grade 11,Physics,Chapter 13: Oscillations,ERROR,0,0,unparseable LLM response: Invalid \escape: line 32 column 63 (char 1184)
Grade 11,Physics,Chapter 14: Waves,OK,4,0,
Grade 11,Physics,Chapter 2: Motion in a Straight Line,OK,6,6,
Grade 11,Physics,Chapter 3: Motion in a Plane,OK,7,5,
Grade 11,Physics,Chapter 4: Laws of Motion,OK,6,0,
Grade 11,Physics,"Chapter 5: Work, Energy and Power",OK,6,5,
Grade 11,Physics,Chapter 6: System of Particles and Rotational Motion,OK,5,0,
Grade 11,Physics,Chapter 7: Gravitation,OK,6,3,
Grade 11,Physics,Chapter 8: Mechanical Properties of Solids,OK,2,2,
Grade 12,Accountancy,Chapter 1: Accounting for Partnership: Basic Concepts,OK,11,0,
Grade 12,Accountancy,Chapter 10: Cash Flow Statement,OK,2,0,
Grade 12,Accountancy,Chapter 2: Reconstitution of a Partnership Firm – Admission of a Partner,OK,5,0,
Grade 12,Accountancy,Chapter 3: Reconstitution of a Partnership Firm – Retirement/Death of a Partner,OK,3,0,
Grade 12,Accountancy,Chapter 4: Dissolution of Partnership Firm,OK,4,1,
Grade 12,Accountancy,Chapter 5: Accounting for Share Capital,OK,5,0,
Grade 12,Accountancy,Chapter 6: Issue and Redemption of Debentures,OK,1,1,
Grade 12,Accountancy,Chapter 7: Financial Statements of a Company,OK,2,0,
Grade 12,Accountancy,Chapter 8: Analysis of Financial Statements,OK,1,0,
Grade 12,Accountancy,Chapter 9: Accounting Ratios,OK,3,0,
Grade 12,Biology,Chapter 1: Sexual Reproduction in Flowering Plants,OK,1,0,
Grade 12,Biology,Chapter 10: Biotechnology and its Applications,OK,6,0,
Grade 12,Biology,Chapter 11: Organisms and Populations,OK,3,0,
Grade 12,Biology,Chapter 12: Ecosystem,OK,3,0,
Grade 12,Biology,Chapter 13: Biodiversity and Conservation,OK,6,0,
Grade 12,Biology,Chapter 2: Human Reproduction,OK,5,0,
Grade 12,Biology,Chapter 3: Reproductive Health,OK,5,1,
Grade 12,Biology,Chapter 4: Principles of Inheritance and Variation,OK,5,5,
Grade 12,Biology,Chapter 5: Molecular Basis of Inheritance,OK,2,1,
Grade 12,Biology,Chapter 6: Evolution,OK,5,2,
Grade 12,Biology,Chapter 7: Human Health and Disease,OK,10,5,
Grade 12,Biology,Chapter 8: Microbes in Human Welfare,OK,3,0,
Grade 12,Biology,Chapter 9: Biotechnology: Principles and Processes,OK,6,0,
Grade 12,Business Studies,Chapter 1: Nature and Significance of Management,OK,5,0,
Grade 12,Business Studies,Chapter 10: Marketing,OK,5,1,
Grade 12,Business Studies,Chapter 11: Consumer Protection,OK,0,0,
Grade 12,Business Studies,Chapter 2: Principles of Management,OK,5,0,
Grade 12,Business Studies,Chapter 3: Business Environment,OK,4,2,
Grade 12,Business Studies,Chapter 4: Planning,OK,3,0,
Grade 12,Business Studies,Chapter 5: Organising,OK,6,2,
Grade 12,Business Studies,Chapter 6: Staffing,OK,10,0,
Grade 12,Business Studies,Chapter 7: Directing,OK,3,0,
Grade 12,Business Studies,Chapter 8: Controlling,OK,5,1,
Grade 12,Business Studies,Chapter 9: Financial Management,OK,5,2,
Grade 12,Chemistry,Chapter 1: Solutions,OK,1,0,
Grade 12,Chemistry,Chapter 10: Biomolecules,OK,2,0,
Grade 12,Chemistry,Chapter 2: Electrochemistry,OK,2,0,
Grade 12,Chemistry,Chapter 3: Chemical Kinetics,OK,7,0,
Grade 12,Chemistry,Chapter 4: The d- and f-Block Elements,OK,5,2,
Grade 12,Chemistry,Chapter 5: Coordination Compounds,OK,5,0,
Grade 12,Chemistry,Chapter 6: Haloalkanes and Haloarenes,OK,5,4,
Grade 12,Chemistry,"Chapter 7: Alcohols, Phenols and Ethers",OK,2,0,
Grade 12,Chemistry,"Chapter 8: Aldehydes, Ketones and Carboxylic Acids",OK,1,0,
Grade 12,Chemistry,Chapter 9: Amines,OK,3,0,
Grade 12,Economics,Chapter 1: Introduction to Macroeconomics,OK,4,0,
Grade 12,Economics,Chapter 2: National Income Accounting,OK,4,0,
Grade 12,Economics,Chapter 3: Money and Banking,OK,5,0,
Grade 12,Economics,Chapter 4: Determination of Income and Employment,OK,1,0,
Grade 12,Economics,Chapter 5: Government Budget and the Economy,OK,2,0,
Grade 12,Economics,Chapter 6: Open Economy Macroeconomics,OK,5,0,
Grade 12,English,Chapter 1: The Last Lesson,OK,3,0,
Grade 12,English,Chapter 10: Keeping Quiet,OK,5,0,
Grade 12,English,Chapter 11: A Thing of Beauty,OK,2,0,
Grade 12,English,Chapter 12: A Roadside Stand,OK,5,0,
Grade 12,English,Chapter 13: Aunt Jennifer's Tigers,OK,1,0,
Grade 12,English,Chapter 14: The Third Level,OK,0,0,
Grade 12,English,Chapter 15: The Tiger King,OK,5,0,
Grade 12,English,Chapter 16: Journey to the End of the Earth,OK,4,0,
Grade 12,English,Chapter 17: The Enemy,OK,5,0,
Grade 12,English,Chapter 18: On the Face of It,OK,2,0,
Grade 12,English,Chapter 19: Memories of Childhood,OK,4,0,
Grade 12,English,Chapter 2: Lost Spring,OK,2,0,
Grade 12,English,Chapter 3: Deep Water,OK,5,0,
Grade 12,English,Chapter 4: The Rattrap,OK,2,0,
Grade 12,English,Chapter 5: Indigo,OK,3,0,
Grade 12,English,Chapter 6: Poets and Pancakes,OK,5,0,
Grade 12,English,Chapter 7: The Interview,OK,2,0,
Grade 12,English,Chapter 8: Going Places,OK,4,1,
Grade 12,English,Chapter 9: My Mother at Sixty-six,OK,1,0,
Grade 12,Geography,Chapter 1: Human Geography: Nature and Scope,OK,3,0,
Grade 12,Geography,Chapter 10: Human Settlements,OK,5,0,
Grade 12,Geography,Chapter 11: Land Resources and Agriculture,OK,3,1,
Grade 12,Geography,Chapter 12: Water Resources,OK,2,0,
Grade 12,Geography,Chapter 13: Mineral and Energy Resources,OK,3,0,
Grade 12,Geography,Chapter 14: Planning and Sustainable Development in Indian Context,OK,3,0,
Grade 12,Geography,Chapter 15: Transport and Communication in India,OK,10,0,
Grade 12,Geography,Chapter 16: International Trade,OK,2,0,
Grade 12,Geography,Chapter 17: Geographical Perspective on Selected Issues and Problems,OK,1,1,
Grade 12,Geography,"Chapter 2: The World Population: Distribution, Density and Growth",OK,4,0,
Grade 12,Geography,Chapter 3: Human Development,OK,4,2,
Grade 12,Geography,Chapter 4: Primary Activities,OK,5,5,
Grade 12,Geography,Chapter 5: Secondary Activities,OK,4,3,
Grade 12,Geography,Chapter 6: Tertiary and Quaternary Activities,OK,5,0,
Grade 12,Geography,Chapter 7: Transport and Communication,OK,5,3,
Grade 12,Geography,Chapter 8: International Trade,OK,1,0,
Grade 12,Geography,"Chapter 9: Population: Distribution, Density, Growth and Composition",OK,4,0,
Grade 12,Hindi,Chapter 1: Atmaparichay Ek Geet,OK,5,0,
Grade 12,Hindi,Chapter 10: Bhaktin,OK,5,0,
Grade 12,Hindi,Chapter 11: Bazaar Darshan,OK,5,0,
Grade 12,Hindi,Chapter 12: Kale Megha Pani De,OK,5,0,
Grade 12,Hindi,Chapter 13: Pahalwan Ki Dholak,OK,5,5,
Grade 12,Hindi,Chapter 14: Shirish Ke Phool,OK,4,0,
Grade 12,Hindi,Chapter 15: Shram Vibhajan Aur Jati Pratha,ERROR,0,0,"unparseable LLM response: Expecting ',' delimiter: line 7 column 5 (char 316)"
Grade 12,Hindi,Chapter 16: Silver Wedding,OK,3,0,
Grade 12,Hindi,Chapter 17: Jujh,OK,5,0,
Grade 12,Hindi,Chapter 18: Ateet Mein Dabe Paon,OK,10,0,
Grade 12,Hindi,Chapter 2: Patang,OK,5,0,
Grade 12,Hindi,Chapter 3: Kavita Ke Bahane Baat Seedhi Thi Par,OK,3,0,
Grade 12,Hindi,Chapter 4: Camera Mein Band Apahij,OK,5,0,
Grade 12,Hindi,Chapter 5: Usha,OK,5,0,
Grade 12,Hindi,Chapter 6: Baadal Raag,OK,5,0,
Grade 12,Hindi,Chapter 7: Kavitavali Uttarkand Se,OK,4,0,
Grade 12,Hindi,Chapter 8: Rubaiyan,ERROR,0,0,"unparseable LLM response: Expecting ',' delimiter: line 29 column 2 (char 1409)"
Grade 12,Hindi,Chapter 9: Chhota Mera Khet,ERROR,0,0,"unparseable LLM response: Expecting ',' delimiter: line 7 column 5 (char 331)"
Grade 12,History,"Chapter 1: Bricks, Beads and Bones: The Harappan Civilisation",OK,5,5,
Grade 12,History,Chapter 10: Rebels and the Raj: The Revolt of 1857 and Its Representations,OK,5,5,
Grade 12,History,Chapter 11: Mahatma Gandhi and the Nationalist Movement: Civil Disobedience and Beyond,OK,4,0,
Grade 12,History,Chapter 12: Framing the Constitution: The Beginning of a New Era,OK,2,0,
Grade 12,History,"Chapter 2: Kings, Farmers and Towns: Early States and Economies",OK,5,5,
Grade 12,History,"Chapter 3: Kinship, Caste and Class: Early Societies",OK,2,2,
Grade 12,History,"Chapter 4: Thinkers, Beliefs and Buildings: Cultural Developments",OK,5,5,
Grade 12,History,Chapter 5: Through the Eyes of Travellers: Perceptions of Society,OK,5,5,
Grade 12,History,Chapter 6: Bhakti-Sufi Traditions: Changes in Religious Beliefs and Devotional Texts,OK,5,5,
