grade,subject,chapter,mode,board,cached_steps,expected_steps,milestones,quickchecks,status
Grade 11,Political Science,Nationalism,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Peace,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Political Theory: An Introduction,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Rights,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Rights in the Indian Constitution,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Secularism,CBSE,CBSE,5,6,5,0,stored
Grade 11,Political Science,Social Justice,CBSE,CBSE,5,6,5,0,stored
Grade 12,Accountancy,Accounting Ratios,CBSE,CBSE,5,6,5,0,stored
Grade 12,Accountancy,Accounting for Not-for-Profit Organisations,CBSE,CBSE,5,6,5,0,stored
Grade 12,Accountancy,Accounting for Partnership: Basic Concepts,CBSE,CBSE,5,6,5,0,stored
Grade 12,Accountancy,Accounting for Share Capital,CBSE,CBSE,5,6,5,0,stored
Grade 12,Accountancy,Analysis of Financial Statements,CBSE,CBSE,5,6,5,0,stored
Grade 12,Accountancy,Dissolution of Partnership Firm,CBSE,CBSE,5,6,5,0,stored
Grade 12,Accountancy,Financial Statements of a Company,CBSE,CBSE,5,6,5,0,stored
Grade 12,Accountancy,Issue and Redemption of Debentures,CBSE,CBSE,5,6,5,0,stored
Grade 12,Accountancy,Reconstitution of a Partnership Firm – Admission of a Partner,CBSE,CBSE,5,6,5,0,stored
Grade 12,Accountancy,Reconstitution of a Partnership Firm – Retirement/Death of a Partner,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Biotechnology and its Applications,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Biotechnology: Principles and Processes,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Evolution,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Exemplar: Animal Husbandry,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Exemplar: Biodiversity and Conservation,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Exemplar: Biotechnology and Its Applications,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Exemplar: Biotechnology: Principles and Processes,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Exemplar: Ecosystem,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Exemplar: Environmental Issues,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Exemplar: Evolution,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Exemplar: Human Health and Disease,CBSE,CBSE,5,6,5,1,stored
Grade 12,Biology,Exemplar: Human Reproduction,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Exemplar: Microbes in Human Welfare,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Exemplar: Molecular Basis of Inheritance,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Exemplar: Organisms and Populations,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Exemplar: Principles of Inheritance and Variation,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Exemplar: Reproductive Health,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Exemplar: Sexual Reproduction in Flowering Plants,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Exemplar: Strategies for Enhancement in Food Production,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Human Health and Disease,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Human Reproduction,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Microbes in Human Welfare,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Molecular Basis of Inheritance,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Organisms and Populations,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Principles of Inheritance and Variation,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Reproduction in Organisms,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Reproductive Health,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Sexual Reproduction in Flowering Plants,CBSE,CBSE,5,6,5,0,stored
Grade 12,Biology,Strategies for Enhancement in Food Production,CBSE,CBSE,5,6,5,0,stored
Grade 12,Business Studies,Business Environment,CBSE,CBSE,5,6,5,0,stored
Grade 12,Business Studies,Controlling,CBSE,CBSE,5,6,5,0,stored
Grade 12,Business Studies,Directing,CBSE,CBSE,5,6,5,0,stored
Grade 12,Business Studies,Financial Management,CBSE,CBSE,5,6,5,0,stored
Grade 12,Business Studies,Financial Markets,CBSE,CBSE,5,6,5,0,stored
Grade 12,Business Studies,Marketing Management,CBSE,CBSE,5,6,5,0,stored
Grade 12,Business Studies,Nature and Significance of Management,CBSE,CBSE,5,6,5,0,stored
Grade 12,Business Studies,Organising,CBSE,CBSE,5,6,5,0,stored
Grade 12,Business Studies,Planning,CBSE,CBSE,5,6,5,0,stored
Grade 12,Business Studies,Principles of Management,CBSE,CBSE,5,6,5,0,stored
Grade 12,Business Studies,Staffing,CBSE,CBSE,5,6,5,0,stored
Grade 12,Chemistry,Chemical Kinetics,CBSE,CBSE,5,6,5,0,stored
Grade 12,Chemistry,Coordination Compounds,CBSE,CBSE,5,6,5,0,stored
Grade 12,Chemistry,Electrochemistry,CBSE,CBSE,5,6,5,0,stored
Grade 12,Chemistry,General Principles and Processes of Isolation of Elements,CBSE,CBSE,5,6,5,0,stored
Grade 12,Chemistry,Haloalkanes and Haloarenes,CBSE,CBSE,5,6,5,0,stored
Grade 12,Chemistry,Solutions,CBSE,CBSE,5,6,5,0,stored
Grade 12,Chemistry,Surface Chemistry,CBSE,CBSE,5,6,5,0,stored
Grade 12,Chemistry,The Solid State,CBSE,CBSE,5,6,5,0,stored
Grade 12,Chemistry,The d- and f-Block Elements,CBSE,CBSE,5,6,5,0,stored
Grade 12,Chemistry,The p-Block Elements,CBSE,CBSE,5,6,5,0,stored
Grade 12,Economics,Determination of Income and Employment,CBSE,CBSE,5,6,5,0,stored
Grade 12,Economics,Government Budget and the Economy,CBSE,CBSE,5,6,5,0,stored
Grade 12,Economics,Introduction to Macroeconomics,CBSE,CBSE,5,6,5,0,stored
Grade 12,Economics,Money and Banking,CBSE,CBSE,5,6,5,0,stored
Grade 12,Economics,National Income Accounting,CBSE,CBSE,5,6,5,0,stored
Grade 12,Economics,Open Economy Macroeconomics,CBSE,CBSE,5,6,5,0,stored
Grade 12,English,Deep Water,CBSE,CBSE,5,6,5,0,stored
Grade 12,English,Going Places,CBSE,CBSE,5,6,5,0,stored
Grade 12,English,Indigo,CBSE,CBSE,5,6,5,0,stored
Grade 12,English,Lost Spring,CBSE,CBSE,5,6,5,0,stored
Grade 12,English,Poets and Pancakes,CBSE,CBSE,5,6,5,0,stored
Grade 12,English,The Interview,CBSE,CBSE,5,6,5,0,stored
Grade 12,English,The Last Lesson,CBSE,CBSE,5,6,5,0,stored
Grade 12,English,The Rattrap,CBSE,CBSE,5,6,5,0,stored
Grade 12,Geography,Human Development,CBSE,CBSE,5,6,5,0,stored
Grade 12,Geography,Human Geography: Nature and Scope,CBSE,CBSE,5,6,5,0,stored
Grade 12,Geography,Population Composition,CBSE,CBSE,5,6,5,0,stored
Grade 12,Geography,Primary Activities,CBSE,CBSE,5,6,5,0,stored
Grade 12,Geography,Secondary Activities,CBSE,CBSE,5,6,5,0,stored
Grade 12,Geography,Tertiary and Quaternary Activities,CBSE,CBSE,5,6,5,0,stored
Grade 12,Geography,"The World Population: Distribution, Density and Growth",CBSE,CBSE,5,6,5,0,stored
Grade 12,Geography,Transport and Communication,CBSE,CBSE,5,6,5,0,stored
Grade 12,Hindi,Ateet Mein Dab Paon,CBSE,CBSE,5,6,5,0,stored
Grade 12,Hindi,Jooze,CBSE,CBSE,5,6,5,0,stored
Grade 12,Hindi,Silver Wedding,CBSE,CBSE,5,6,5,0,stored
Grade 12,History,An Imperial Capital: Vijayanagara,CBSE,CBSE,5,6,5,0,stored
Grade 12,History,Bhakti-Sufi Traditions: Changes in Religious Beliefs,CBSE,CBSE,5,6,5,0,stored
Grade 12,History,"Bricks, Beads and Bones: The Harappan Civilisation",CBSE,CBSE,5,6,5,0,stored
Grade 12,History,"Colonial Cities: Urbanisation, Planning and Architecture",CBSE,CBSE,5,6,5,0,stored
Grade 12,History,Colonialism and the Countryside: Exploring Official Archives,CBSE,CBSE,5,6,5,0,stored
Grade 12,History,Kings and Chronicles: The Mughal Courts,CBSE,CBSE,5,6,5,0,stored
Grade 12,History,"Kings, Farmers and Towns: Early States and Economies",CBSE,CBSE,5,6,5,0,stored
Grade 12,History,"Kinship, Caste and Class: Early Societies",CBSE,CBSE,5,6,5,0,stored
Grade 12,History,Mahatma Gandhi and the Nationalist Movement: Civil Disobedience and Beyond,CBSE,CBSE,5,6,5,0,stored
Grade 12,History,"Peasants, Zamindars and the State: Agrarian Society and the Mughal Empire",CBSE,CBSE,5,6,5,0,stored
Grade 12,History,Rebels and the Raj: The Revolt of 1857 and its Representations,CBSE,CBSE,5,6,5,0,stored
Grade 12,History,"Thinkers, Beliefs and Buildings: Cultural Developments",CBSE,CBSE,5,6,5,0,stored
Grade 12,History,Through the Eyes of Travellers: Perceptions of Society,CBSE,CBSE,5,6,5,0,stored
Grade 12,History,"Understanding Partition: Politics, Memories, Experiences",CBSE,CBSE,5,6,5,0,stored
Grade 12,Mathematics,Application of Derivatives,CBSE,CBSE,5,6,5,1,stored
Grade 12,Mathematics,Application of Integrals,CBSE,CBSE,5,6,5,1,stored
Grade 12,Mathematics,Continuity and Differentiability,CBSE,CBSE,5,6,5,0,stored
Grade 12,Mathematics,Determinants,CBSE,CBSE,5,6,5,0,stored
Grade 12,Mathematics,Differential Equations,CBSE,CBSE,5,6,5,1,stored
Grade 12,Mathematics,Exemplar: Application of Derivatives,CBSE,CBSE,5,6,5,1,stored
Grade 12,Mathematics,Exemplar: Application of Integrals,CBSE,CBSE,5,6,5,1,stored
Grade 12,Mathematics,Exemplar: Continuity and Differentiability,CBSE,CBSE,5,6,5,1,stored
Grade 12,Mathematics,Exemplar: Determinants,CBSE,CBSE,5,6,5,1,stored
Grade 12,Mathematics,Exemplar: Differential Equations,CBSE,CBSE,5,6,5,1,stored
Grade 12,Mathematics,Exemplar: Integrals,CBSE,CBSE,5,6,5,1,stored
Grade 12,Mathematics,Exemplar: Inverse Trigonometric Functions,CBSE,CBSE,5,6,5,2,stored
Grade 12,Mathematics,Exemplar: Linear Programming,CBSE,CBSE,5,6,5,2,stored
Grade 12,Mathematics,Exemplar: Matrices,CBSE,CBSE,5,6,5,0,stored
Grade 12,Mathematics,Exemplar: Probability,CBSE,CBSE,5,6,5,0,stored
Grade 12,Mathematics,Exemplar: Relations and Functions,CBSE,CBSE,5,6,5,1,stored
Grade 12,Mathematics,Exemplar: Three Dimensional Geometry,CBSE,CBSE,5,6,5,0,stored
Grade 12,Mathematics,Exemplar: Vector Algebra,CBSE,CBSE,5,6,5,0,stored
Grade 12,Mathematics,Integrals,CBSE,CBSE,5,6,5,2,stored
Grade 12,Mathematics,Inverse Trigonometric Functions,CBSE,CBSE,5,6,5,2,stored
Grade 12,Mathematics,Linear Programming,CBSE,CBSE,5,6,5,0,stored
Grade 12,Mathematics,Matrices,CBSE,CBSE,5,6,5,2,stored
Grade 12,Mathematics,Probability,CBSE,CBSE,5,6,5,0,stored
Grade 12,Mathematics,Relations and Functions,CBSE,CBSE,5,6,5,0,stored
Grade 12,Mathematics,Three Dimensional Geometry,CBSE,CBSE,5,6,5,0,stored
Grade 12,Mathematics,Vector Algebra,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Alternating Current,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Atoms,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Current Electricity,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Dual Nature of Radiation and Matter,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Electric Charges and Fields,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Electromagnetic Induction,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Electromagnetic Waves,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Electrostatic Potential and Capacitance,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Exemplar: Alternating Current,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Exemplar: Atoms,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Exemplar: Communication Systems,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Exemplar: Current Electricity,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Exemplar: Dual Nature of Radiation and Matter,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Exemplar: Electric Charges and Fields,CBSE,CBSE,5,6,5,1,stored
Grade 12,Physics,Exemplar: Electromagnetic Induction,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Exemplar: Electromagnetic Waves,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Exemplar: Electrostatic Potential and Capacitance,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Exemplar: Magnetism and Matter,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Exemplar: Moving Charges and Magnetism,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Exemplar: Nuclei,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Exemplar: Ray Optics and Optical Instruments,CBSE,CBSE,5,6,5,1,stored
Grade 12,Physics,"Exemplar: Semiconductor Electronics: Materials, Devices and Simple Circuits",CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Exemplar: Wave Optics,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Magnetism and Matter,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Moving Charges and Magnetism,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Nuclei,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,PYQ: B Tech 2nd Apr 2026 Shift 1,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,PYQ: B Tech 2nd Apr 2026 Shift 2,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,PYQ: B Tech 4th Apr 2026 Shift 1,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,PYQ: B Tech 4th Apr 2026 Shift 2,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,PYQ: B Tech 5th Apr 2026 Shift 1,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,PYQ: B Tech 5th Apr 2026 Shift 2,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,PYQ: B Tech 6th Apr 2026 Shift 1,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,PYQ: B Tech 6th Apr 2026 Shift 2,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,PYQ: B Tech 8th Apr 2026 Shift 2,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Ray Optics and Optical Instruments,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Semiconductor Electronics,CBSE,CBSE,5,6,5,0,stored
Grade 12,Physics,Wave Optics,CBSE,CBSE,5,6,5,0,stored
Grade 12,Political Science,Alternative Centres of Power,CBSE,CBSE,5,6,5,0,stored
Grade 12,Political Science,Challenges of Nation Building,CBSE,CBSE,5,6,5,0,stored
Grade 12,Political Science,Challenges to and Restoration of the Congress System,CBSE,CBSE,5,6,5,0,stored
Grade 12,Political Science,Contemporary South Asia,CBSE,CBSE,5,6,5,0,stored
Grade 12,Political Science,Environment and Natural Resources,CBSE,CBSE,5,6,5,0,stored
Grade 12,Political Science,Era of One-Party Dominance,CBSE,CBSE,5,6,5,0,stored
Grade 12,Political Science,India's External Relations,CBSE,CBSE,5,6,5,0,stored
Grade 12,Political Science,International Organisations,CBSE,CBSE,5,6,5,0,stored
Grade 12,Political Science,Politics of Planned Development,CBSE,CBSE,5,6,5,0,stored
Grade 12,Political Science,Rise of Popular Movements,CBSE,CBSE,5,6,5,0,stored
Grade 12,Political Science,Security in the Contemporary World,CBSE,CBSE,5,6,5,0,stored
Grade 12,Political Science,The Cold War Era,CBSE,CBSE,5,6,5,0,stored
Grade 12,Political Science,The Crisis of Democratic Order,CBSE,CBSE,5,6,5,0,stored
Grade 12,Political Science,The End of Bipolarity,CBSE,CBSE,5,6,5,0,stored
Grade 12,Political Science,US Hegemony in World Politics,CBSE,CBSE,5,6,5,0,stored
Grade 5,EVS,Chapter 10: Earth — Our Shared Home,CBSE,CBSE,3,3,3,0,stored
Grade 5,EVS,Chapter 1: Water — The Essence of Life,CBSE,CBSE,3,3,3,0,stored
Grade 5,EVS,Chapter 2: Journey of a River,CBSE,CBSE,3,3,3,0,stored
Grade 5,EVS,Chapter 3: The Mystery of Food,CBSE,CBSE,3,3,3,0,stored
Grade 5,EVS,Chapter 4: Our School — A Happy Place,CBSE,CBSE,3,3,3,0,stored
Grade 5,EVS,Chapter 5: Our Vibrant Country,CBSE,CBSE,3,3,3,0,stored
Grade 5,EVS,Chapter 6: Some Unique Places,CBSE,CBSE,3,3,3,0,stored
Grade 5,EVS,Chapter 7: Energy — How Things Work,CBSE,CBSE,3,3,3,0,stored
Grade 5,EVS,Chapter 8: Clothes — How Things are Made,CBSE,CBSE,3,3,3,0,stored
Grade 5,EVS,Chapter 9: Rhythms of Nature,CBSE,CBSE,3,3,3,0,stored
Grade 5,English,1. Papa's Spectacles,CBSE,CBSE,6,3,0,0,already_stored
Grade 5,English,10. Glass Bangles,CBSE,CBSE,3,3,3,0,stored
Grade 5,English,2. Gone with the Scooter,CBSE,CBSE,3,3,3,0,stored
Grade 5,English,3. The Rainbow,CBSE,CBSE,3,3,3,0,stored
Grade 5,English,4. The Wise Parrot,CBSE,CBSE,3,3,3,0,stored
Grade 5,English,5. The Frog,CBSE,CBSE,3,3,3,0,stored
Grade 5,English,6. What a Tank!,CBSE,CBSE,3,3,3,0,stored
Grade 5,English,7. Gilli Danda,CBSE,CBSE,3,3,3,0,stored
Grade 5,English,8. The Decision of the Panchayat,CBSE,CBSE,3,3,3,0,stored
Grade 5,English,9. Vocation,CBSE,CBSE,3,3,3,0,stored
Grade 5,Hindi,1. किरन,CBSE,CBSE,4,3,3,0,stored
Grade 5,Hindi,10. तीन मछलियाँ,CBSE,CBSE,3,3,3,0,stored
Grade 5,Hindi,11. हमारे ये कलामंदिर,CBSE,CBSE,3,3,3,0,stored
Grade 5,Hindi,12. गंगा की कहानी,CBSE,CBSE,3,3,3,0,stored
Grade 5,Hindi,2. न्याय की कु सी,CBSE,CBSE,3,3,3,0,stored
Grade 5,Hindi,3. चाँद का कु रता,CBSE,CBSE,3,3,3,0,stored
Grade 5,Hindi,4. साङके न,CBSE,CBSE,3,3,3,0,stored
Grade 5,Hindi,5. सुंदरिया,CBSE,CBSE,3,3,3,0,stored
Grade 5,Hindi,6. चतुर चित्रकार,CBSE,CBSE,3,3,3,0,stored
Grade 5,Hindi,7. मेरा बचपन,CBSE,CBSE,3,3,3,0,stored
Grade 5,Hindi,8. काजीरंगा राष्ट्ीय उद्ान की यात्,CBSE,CBSE,3,3,3,0,stored
Grade 5,Hindi,9. न्याय,CBSE,CBSE,3,3,3,0,stored
Grade 5,Maths,Chapter 10: Symmetrical Designs,CBSE,CBSE,3,3,3,0,stored
Grade 5,Maths,Chapter 11: Grandmother’s Quilt,CBSE,CBSE,3,3,3,0,stored
Grade 5,Maths,Chapter 12: Racing Seconds,CBSE,CBSE,3,3,3,0,stored
Grade 5,Maths,Chapter 13: Animal Jumps,CBSE,CBSE,3,3,3,0,stored
Grade 5,Maths,Chapter 14: Maps and Locations,CBSE,CBSE,3,3,3,0,stored
Grade 5,Maths,Chapter 15: Data Through Pictures,CBSE,CBSE,3,3,3,0,stored
Grade 5,Maths,Chapter 1: We the Travellers — I,CBSE,CBSE,4,3,3,0,stored
Grade 5,Maths,Chapter 2: Fractions,CBSE,CBSE,3,3,3,1,stored
Grade 5,Maths,Chapter 3: Angles as Turns,CBSE,CBSE,3,3,3,1,stored
Grade 5,Maths,Chapter 4: We the Travellers — II,CBSE,CBSE,3,3,3,0,stored
Grade 5,Maths,Chapter 5: Far and Near,CBSE,CBSE,3,3,3,0,stored
Grade 5,Maths,Chapter 6: The Dairy Farm,CBSE,CBSE,3,3,3,1,stored
Grade 5,Maths,Chapter 7: Shapes and Patterns,CBSE,CBSE,3,3,3,0,stored
Grade 5,Maths,Chapter 8: Weight and Capacity,CBSE,CBSE,3,3,3,0,stored
Grade 5,Maths,Chapter 9: Coconut Farm,CBSE,CBSE,3,3,3,0,stored
Grade 5,Maths,Shapes and Angles,CBSE,CBSE,3,3,3,0,stored
Grade 5,Maths,The Fish Tale,CBSE,CBSE,3,3,3,0,stored
Grade 6,English,Unit 1: Fables and Folk Tales,CBSE,CBSE,4,4,0,0,already_stored
Grade 6,English,Unit 2: Friendship,CBSE,CBSE,4,4,4,0,stored
Grade 6,English,Unit 3: Nurturing Nature,CBSE,CBSE,4,4,4,0,stored
Grade 6,English,Unit 4: Sports and Wellness,CBSE,CBSE,4,4,4,0,stored
Grade 6,English,Unit 5: Culture and Tradition,CBSE,CBSE,4,4,4,0,stored
Grade 6,Hindi,1. मातृभूमि,CBSE,CBSE,4,4,0,0,already_stored
Grade 6,Hindi,10. परीक्ा,CBSE,CBSE,4,4,4,0,stored
Grade 6,Hindi,11. चेतक की वीरता,CBSE,CBSE,4,4,4,0,stored
Grade 6,Hindi,12. हिंद महासागर में छोटा-सा हिंदुस्ान,CBSE,CBSE,4,4,4,0,stored
Grade 6,Hindi,13. पेड़ की बात,CBSE,CBSE,4,4,4,1,stored
Grade 6,Hindi,2. गोल,CBSE,CBSE,4,4,4,0,stored
Grade 6,Hindi,3. पहली बूँद,CBSE,CBSE,4,4,4,1,stored
Grade 6,Hindi,4. हार की जीत,CBSE,CBSE,4,4,4,0,stored
Grade 6,Hindi,5. रहीम के दोहे,CBSE,CBSE,4,4,4,0,stored
Grade 6,Hindi,6. मेरी माँ,CBSE,CBSE,4,4,4,0,stored
Grade 6,Hindi,7. जलाते चलो,CBSE,CBSE,4,4,4,0,stored
Grade 6,Hindi,8. समरिया और मबहू नृत्य,CBSE,CBSE,4,4,4,0,stored
Grade 6,Hindi,9. मैया मैं नमहं माखन खायो,CBSE,CBSE,4,4,4,0,stored
Grade 6,Maths,Chapter 1 Patterns in Mathematics,CBSE,CBSE,4,4,4,0,stored
Grade 6,Maths,Chapter 10 The Other Side of Zero,CBSE,CBSE,4,4,4,0,stored
Grade 6,Maths,Chapter 2 Lines and Angles,CBSE,CBSE,4,4,4,0,stored
Grade 6,Maths,Chapter 3 Number Play,CBSE,CBSE,4,4,0,0,already_stored
Grade 6,Maths,Chapter 4 Data Handling and Presentation,CBSE,CBSE,4,4,4,0,stored
Grade 6,Maths,Chapter 5 Prime Time,CBSE,CBSE,4,4,4,0,stored
Grade 6,Maths,Chapter 6 Perimeter and Area,CBSE,CBSE,4,4,4,0,stored
Grade 6,Maths,Chapter 7 Fractions,CBSE,CBSE,4,4,4,0,stored
Grade 6,Maths,Chapter 8 Playing with Constructions,CBSE,CBSE,4,4,4,0,stored
Grade 6,Maths,Chapter 9 Symmetry,CBSE,CBSE,4,4,4,0,stored
Grade 6,Science,Chapter 10: Living Creatures: Exploring their Characteristics,CBSE,CBSE,4,4,4,0,stored
Grade 6,Science,Chapter 11: Nature’s Treasures,CBSE,CBSE,4,4,4,0,stored
Grade 6,Science,Chapter 12: Beyond Earth,CBSE,CBSE,4,4,4,0,stored
Grade 6,Science,Chapter 1: The Wonderful World of Science,CBSE,CBSE,4,4,0,0,already_stored
Grade 6,Science,Chapter 2: Diversity in the Living World,CBSE,CBSE,4,4,4,0,stored
Grade 6,Science,Chapter 3: Mindful Eating: A Path to a Healthy Body,CBSE,CBSE,4,4,4,0,stored
Grade 6,Science,Chapter 4: Exploring Magnets,CBSE,CBSE,4,4,4,0,stored
Grade 6,Science,Chapter 5: Measurement of Length and Motion,CBSE,CBSE,4,4,4,0,stored
Grade 6,Science,Chapter 6: Materials Around Us,CBSE,CBSE,4,4,4,0,stored
Grade 6,Science,Chapter 7: Temperature and its Measurement,CBSE,CBSE,4,4,4,0,stored
Grade 6,Science,Chapter 8: A Journey through States of Water,CBSE,CBSE,4,4,4,0,stored
Grade 6,Science,Chapter 9: Methods of Separation in Everyday Life,CBSE,CBSE,4,4,4,0,stored
Grade 6,Social Science,History - Part 4 - 4. Timeline and Sources of History,CBSE,CBSE,4,4,4,0,stored
Grade 6,Social Science,Text Book - Part 1 - 1. Locating Places on the Earth,CBSE,CBSE,4,4,0,0,already_stored
Grade 6,Social Science,Text Book - Part 10 - 10. Grassroots Democracy — Part 1: Governance,CBSE,CBSE,4,4,4,0,stored
Grade 6,Social Science,Text Book - Part 11 - 11. Grassroots Democracy — Part 2: Local Government in Rural Areas,CBSE,CBSE,4,4,4,0,stored
Grade 6,Social Science,Text Book - Part 12 - 12. Grassroots Democracy — Part 3: Local Government in Urban Areas,CBSE,CBSE,4,4,4,0,stored
Grade 6,Social Science,Text Book - Part 13 - 13. The Value of Work,CBSE,CBSE,4,4,4,0,stored
Grade 6,Social Science,Text Book - Part 14 - 14. Economic Activities Around Us,CBSE,CBSE,4,4,4,0,stored
Grade 6,Social Science,Text Book - Part 2 - 2. Oceans and Continents,CBSE,CBSE,4,4,4,0,stored
Grade 6,Social Science,Text Book - Part 3 - 3. Landforms and Life,CBSE,CBSE,4,4,4,0,stored
Grade 6,Social Science,"Text Book - Part 5 - 5. India, That Is Bharat",CBSE,CBSE,4,4,4,0,stored
Grade 6,Social Science,Text Book - Part 6 - 6. The Beginnings of Indian Civilisation,CBSE,CBSE,4,4,4,0,stored
Grade 6,Social Science,Text Book - Part 7 - 7. India's Cultural Roots,CBSE,CBSE,4,4,4,0,stored
Grade 6,Social Science,"Text Book - Part 8 - 8. Unity in Diversity, or 'Many in the One'",CBSE,CBSE,4,4,4,0,stored
Grade 6,Social Science,Text Book - Part 9 - 9. Family and Community,CBSE,CBSE,4,4,4,0,stored
Grade 7,English,Chapter Travel and Adventure,CBSE,CBSE,4,4,4,0,stored
Grade 7,English,Unit 1: LEARNING TOGETHER,CBSE,CBSE,4,4,4,0,stored
Grade 7,English,Unit 2: WIT AND HUMOUR,CBSE,CBSE,4,4,4,0,stored
Grade 7,English,Unit 3: DREAMS AND DISCOVERIES,CBSE,CBSE,4,4,4,0,stored
Grade 7,English,Unit 5: Bravehearts,CBSE,CBSE,4,4,4,0,stored
Grade 7,Hindi,पाठ 10: मुीरा का़े पाद,CBSE,CBSE,4,4,4,0,stored
Grade 7,Hindi,"पाठ 1: माँ, कह एक कहानी",CBSE,CBSE,4,4,4,0,stored
Grade 7,Hindi,पाठ 2: तीन बुद्धमान,CBSE,CBSE,4,4,4,0,stored
Grade 7,Hindi,पाठ 3: फ ू ल और काँटा,CBSE,CBSE,4,4,4,0,stored
Grade 7,Hindi,पाठ 4: पानी रे पानी,CBSE,CBSE,4,4,4,0,stored
Grade 7,Hindi,पाठ 5: नहीं होना बीमार,CBSE,CBSE,4,4,4,0,stored
Grade 7,Hindi,पाठ 6: िगरधर किवराय की क ुं डिलया,CBSE,CBSE,4,4,4,0,stored
Grade 7,Hindi,पाठ 7: वषार्-बहार,CBSE,CBSE,4,4,4,0,stored
Grade 7,Hindi,पाठ 8: िबरजू महाराज से साक्षाार,CBSE,CBSE,4,4,4,0,stored
Grade 7,Hindi,पाठ 9: धिधड़या,CBSE,CBSE,4,4,4,0,stored
Grade 7,Maths,Part 1 - Chapter 1: Large Numbers Around Us,CBSE,CBSE,4,4,4,0,stored
